OBJECTID,plotname,Shape_Length,Shape_Area,Longdd,Latdd
375,FWS 63_5_3_na,59855.015239337605000,11845298.807295043000000,-65.697294253490938,46.616725924016365
376,FWS 63_5_4_na,59858.264667735311000,11845947.170144061000000,-66.076474207256581,46.616720201728420
377,FWS 63_5_5_na,59856.795493770383000,11845653.715422757000000,-66.455659899366040,46.616716387003905
378,FWS 63_5_6_na,59857.979178223017000,11845891.384691570000000,-66.834844612011807,46.616712572285060
379,FWS 63_5_7_na,59856.799974806774000,11845655.153641112000000,-67.214029338897262,46.616712572455100
380,FWS 63_5_8_na,59855.027960803469000,11845301.222506367000000,-67.593204369834112,46.616712569244882
381,FWS 63_6_1_na,59885.061043742608000,11851307.397513710000000,-65.290199433035582,46.900060652503001
382,FWS 63_6_2_na,59762.009921948302000,11826698.314545440000000,-65.671459228867533,46.900054933985245
383,FWS 63_6_3_na,59504.180529221543000,11775132.416209279000000,-66.051479355153035,46.900049211955455
384,FWS 63_6_4_na,59118.304771040552000,11697956.766991122000000,-66.429404290505786,46.900049211827856
385,FWS 63_6_5_na,63730.064555610457000,12620308.044538220000000,-66.821084052989875,46.900045398244522
386,FWS 63_6_6_na,59505.654649043470000,11775426.261869209000000,-67.214024560921104,46.900041582788411
387,FWS 63_6_7_na,59503.888537280771000,11775072.296571428000000,-67.593209147325609,46.900045394032603
388,FWS 63_7_1_na,60119.418735615182000,11898179.626727613000000,-65.458869134850417,47.200052260379451
389,FWS 63_7_2_na,60148.530254635807000,11904001.344023254000000,-65.844624543658355,47.200052264113708
390,FWS 63_7_3_na,60122.329694375549000,11898760.165972833000000,-66.230389613968299,47.200052263884515
391,FWS 63_7_4_na,60149.985631456439000,11904291.349932894000000,-66.616159468048764,47.200052264062606
392,FWS 63_7_5_na,60120.873869438234000,11898470.299268950000000,-67.001924535827484,47.200052263864414
393,FWS 63_7_6_na,60125.528315698066000,11899394.667569179000000,-67.387609445027962,47.200052263280767
394,FWS 63_7_7_na,60122.325993417726000,11898759.115880655000000,-67.773299084303687,47.200052260532964
395,FWS 63_8_1_na,60119.654798753596000,11898224.942606162000000,-65.060094054711016,47.500051497253075
396,FWS 63_8_2_na,60097.094391720522000,11893715.822576638000000,-65.448189763897176,47.500051501320399
397,FWS 63_8_3_na,60121.100836722682000,11898517.720087226000000,-65.836290382942337,47.500051501395674
398,FWS 63_8_4_na,60096.804998383908000,11893656.892104780000000,-66.224390048656872,47.500051501338547
399,FWS 63_8_5_na,60122.546792508248000,11898805.244416460000000,-66.612494495989338,47.500051501293960
400,FWS 63_8_6_na,60095.358586183349000,11893367.540252453000000,-67.000594156401903,47.500051501154985
401,FWS 63_8_7_na,60122.832482496087000,11898857.359089272000000,-67.388694602471631,47.500051496588220
402,FWS 64_1_1_na,61416.063746748558000,12157509.901966816000000,-65.549414658592951,43.700082773432477
403,FWS 64_2_1_na,60378.007390862651000,11949896.588307697000000,-64.847309236118363,44.000082013775895
404,FWS 64_2_2_na,60381.429209941642000,11950578.516076580000000,-65.209818859003661,44.000082016880661
405,FWS 64_2_3_na,60379.873710072570000,11950270.019137274000000,-65.572334321296566,44.000082016897075
406,FWS 64_2_4_na,60379.873654689829000,11950271.002037564000000,-65.934844884902418,44.000082013697686
407,FWS 64_3_1_na,61239.819064480485000,12122258.997936020000000,-64.451049928867846,44.300081251298842
408,FWS 64_3_2_na,61243.224457469674000,12122942.290496949000000,-64.821059236742101,44.300081254523775
409,FWS 64_3_3_na,58946.071406545525000,11663507.977430770000000,-65.183994320995780,44.300081254100149
410,FWS 64_3_4_na,60700.244072266636000,12014343.781469200000000,-65.545254726365883,44.300081254018551
411,FWS 64_3_5_na,60025.545224762842000,11879404.636989892000000,-65.909844318988874,44.300075528649103
412,FWS 64_4_1_na,60878.132234410536000,12049920.926091760000000,-64.251039627111496,44.600072859084911
413,FWS 64_4_2_na,60881.517139254036000,12050600.354947660000000,-64.621048949668719,44.600072862371334
414,FWS 64_4_3_na,60879.980400561450000,12050290.243706238000000,-64.991064090047416,44.600072862406201
415,FWS 64_4_4_na,60881.517026587782000,12050598.483541923000000,-65.361079247197182,44.600072862453182
416,FWS 64_4_5_na,60879.980229308450000,12050292.479453964000000,-65.731094266841808,44.600072859144426
417,FWS 64_5_1_na,61318.582029912999000,12138010.981248353000000,-62.686814441999083,44.900079725145481
418,FWS 64_5_2_na,59986.063567049496000,11871505.252212089000000,-63.057663808056510,44.900079724382060
419,FWS 64_5_3_na,60649.264416447601000,12004147.606672347000000,-63.951444740269572,44.900079725505890
420,FWS 64_5_4_na,60652.319265671293000,12004758.340770088000000,-64.322284700572936,44.900079728707169
421,FWS 64_5_5_na,60653.850681836950000,12005065.826415973000000,-64.693139099970637,44.900079728669873
422,FWS 64_5_6_na,60649.268370849502000,12004150.917816252000000,-65.063983830642755,44.900079725332247
423,FWS 64_6_1_na,60367.122429390693000,11947719.519324956000000,-61.584939142629324,45.200077055164719
424,FWS 64_6_2_na,60394.454589366622000,11953186.631004833000000,-61.956364662750659,45.200071336467161
425,FWS 64_6_3_na,60395.668955248046000,11953428.628633225000000,-62.327879924072896,45.200071336692531
426,FWS 64_6_4_na,60370.461942947055000,11948388.509404734000000,-62.699319869389591,45.200077058673727
427,FWS 64_6_5_na,60394.133362884080000,11953119.928885289000000,-63.070754975194838,45.200082780499955
